Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.7359829666430092,0.5017123287671232,0.7834224598930482,0.6116910229645094
Decision Tree,0.7366926898509581,0.5025817555938038,0.7807486631016043,0.6115183246073298
Random Forest,0.7551454932576295,0.5266055045871559,0.767379679144385,0.6245919477693145
